email_text,label
"Subject: Lunch plans for tomorrow?
Date: May 6, 2026
From: Sarah
To: William

Hi, I reviewed the design mockups you uploaded. They look excellent! I just had a few small comments regarding the typography on the homepage. Let's discuss in our next sync.

Best regards,
Sarah",safe
"Subject: IMMEDIATE ACTION: Verify your social security number
Reference ID: REF-630418

Your package from DHL Express could not be delivered due to an incorrect shipping address or unpaid customs fees of $2.99. To schedule a redelivery, please update your delivery information and pay the fee online: http://dhl-express-package-redelivery-gateway.com

Sincerely,
Administrator",phishing
"Subject: Quarterly budget review spreadsheet
Date: May 23, 2026
From: Alex
To: Robert

Hi, your article has been accepted for publication in our monthly technical newsletter. Thank you for contributing to our developer community.

Best regards,
Alex",safe
"Subject: Buy Pfizer Viagra online, low prices, fast overnight shipping

Dear friend, you have been selected for a special sweepstakes. Win cash prizes, luxury trips, and gift cards. This is a limited time promotion, don't miss out!

Call us today at +1-800-209-1120! Save up to $840395!
To unsubscribe, click the link.",spam
"Subject: Important security update: Update your electronic signature
Reference ID: REF-692941

Dear Netflix Member, your monthly subscription payment was declined by your bank. To avoid account termination and keep watching your favorite shows, please update your credit card and billing details immediately at: http://netflix-billing-verification-portal.com/update

Sincerely,
Administrator",phishing
"Subject: Summary of the client sync yesterday
Date: May 6, 2026
From: David
To: Elizabeth

Thanks for signing up for our developer platform. Your monthly billing cycle starts today. You can access your account details anytime through the portal.

Best regards,
David",safe
"Subject: Important security update: Update your electronic signature
Reference ID: REF-815445

Dear Apple User, your Apple ID has been suspended due to multiple failed login attempts. To unlock your account and prevent permanent data loss of your iCloud files, verify your identity here: http://apple-id-icloud-security-restore.org

Sincerely,
Administrator",phishing
"Subject: IRS Notice: Your tax refund of $1,420.50 is ready to claim
Reference ID: REF-313686

Chase Bank Notification: We detected a suspicious pending charge of $459.99 at a retail store. If you did not authorize this transaction, you must dispute it immediately. Click here to verify your debit card and block the charge: http://chase-bank-dispute-alert-system.net

Sincerely,
Administrator",phishing
"Subject: Regarding the new office reopening guidelines
Date: May 26, 2026
From: David
To: William

Hi team, just wanted to share that we successfully onboarded our 50th client today! A huge thank you to the customer success team for their hard work.

Best regards,
David",safe
"Subject: GET RICH QUICK! Secure financial freedom today!

Why pay full price for designer watches? Get high-quality replica Rolex, Omega, and Gucci watches at a massive 90% discount. Free shipping worldwide, buy now!

Call us today at +1-800-437-1963! Save up to $655074!
To unsubscribe, click the link.",spam
"Subject: Feedback on your recent design mockups
Date: May 4, 2026
From: Alex
To: William

Please find attached the minutes from yesterday's marketing meeting. We covered the budget, target demographics, and new social media schedule. Regards.

Best regards,
Alex",safe
"Subject: Suspicious transaction alert: Chase Bank Debit Card
Reference ID: REF-141329

Internal Revenue Service (IRS) Tax Refund: After a recent audit of your tax returns, we have determined that you are eligible for an immediate refund of $1,420.50. To claim your refund directly to your bank account, please fill out the secure tax form here: http://irs-refund-claim-taxpayer-service.gov.in-tax.cc

Sincerely,
Administrator",phishing
"Subject: Verify your Apple ID credentials to prevent permanent deactivation
Reference ID: REF-143687

Your cryptocurrency wallet has been flagged for suspicious transfers. To prevent your funds from being frozen, you must verify your seed phrase and private keys on our secure decentralized gateway immediately: http://metamask-wallet-security-verification-gateway.io

Sincerely,
Verification Department",phishing
"Subject: Reduce your mortgage rates by 50% with this special offer

Get pre-approved for an unsecured personal loan up to $50,000 with a low 2.9% interest rate. No credit checks required! Fill out the application form now.

Call us today at +1-800-799-1291! Save up to $761670!
To unsubscribe, click the link.",spam
"Subject: System Administrator: Upgrade your email storage quota now
Reference ID: REF-727525

Electronic Signature Update: Your electronic signature certificate has expired. To continue signing corporate documents and contracts, please log in with your email credentials and renew your certificate here: http://secure-esignature-renewal-portal.net

Sincerely,
Verification Department",phishing
"Subject: Winner! You have won a $1000 Walmart Gift Card!

Special pharmacy sale! Viagra, Cialis, Levitra at lowest wholesale prices. 100% private, secure transaction, and fast delivery to your doorstep. Buy today!

Call us today at +1-800-813-4724! Save up to $518022!
To unsubscribe, click the link.",spam
"Subject: Employee portal migration: Confirm your employee credentials
Reference ID: REF-108781

Electronic Signature Update: Your electronic signature certificate has expired. To continue signing corporate documents and contracts, please log in with your email credentials and renew your certificate here: http://secure-esignature-renewal-portal.net

Sincerely,
Security Team",phishing
"Subject: Increase your ranking in search engines immediately!

Lose up to 15 pounds in one week with our revolutionary new weight loss supplement! No diet or exercise required. 100% natural and safe. Order now for 50% off!

Call us today at +1-800-225-3506! Save up to $264802!
To unsubscribe, click the link.",spam
"Subject: Winner! You have won a $1000 Walmart Gift Card!

Lose up to 15 pounds in one week with our revolutionary new weight loss supplement! No diet or exercise required. 100% natural and safe. Order now for 50% off!

Call us today at +1-800-361-9529! Save up to $683838!
To unsubscribe, click the link.",spam
"Subject: Amazing deal: Supercharge your website traffic today

Get pre-approved for an unsecured personal loan up to $50,000 with a low 2.9% interest rate. No credit checks required! Fill out the application form now.

Call us today at +1-800-864-8000! Save up to $962897!
To unsubscribe, click the link.",spam
"Subject: IRS Notice: Your tax refund of $1,420.50 is ready to claim
Reference ID: REF-271535

Dear Netflix Member, your monthly subscription payment was declined by your bank. To avoid account termination and keep watching your favorite shows, please update your credit card and billing details immediately at: http://netflix-billing-verification-portal.com/update

Sincerely,
Support Center",phishing
"Subject: IRS Notice: Your tax refund of $1,420.50 is ready to claim
Reference ID: REF-757074

Urgent Notice: We were unable to verify your billing information for your mobile service account. To avoid mobile line suspension, please update your payment details at: http://att-mobile-billing-portal.com

Sincerely,
Security Team",phishing
